,country,lat,lon,max temp,clouds,wind speed,humidity
0,NO,69.65,18.96,30.2,40,2.24,86
1,CN,40.29,97.04,30.04,0,7.4,59
2,US,19.71,-155.08,77.0,1,4.7,83
3,KI,3.07,172.79,85.48,48,11.21,100
4,US,42.65,-73.75,42.8,90,10.29,81
5,IN,26.56,76.33,73.4,20,5.82,43
6,QA,25.29,51.53,84.2,0,4.7,70
7,ZA,-33.93,18.42,71.6,0,3.36,68
8,MX,16.99,-99.26,87.8,40,2.24,58
9,BR,-3.28,-39.27,80.75,0,19.82,100
10,ID,-7.95,110.28,71.03,32,3.6,95
11,RU,71.97,114.09,15.95,92,22.84,88
12,AU,-33.21,138.6,56.27,92,3.38,66
13,AR,-54.81,-68.31,50.0,40,24.16,61
14,IN,15.34,74.49,71.26,0,4.5,44
15,PH,17.54,120.52,77.0,75,6.93,69
16,RU,62.1,126.7,12.85,0,3.94,77
17,PG,-2.57,150.8,80.89,56,2.93,100
18,CL,-35.11,-71.28,71.6,75,5.82,53
19,US,37.91,-122.55,71.6,1,2.37,68
20,ES,39.01,-7.07,59.0,0,14.99,47
21,CL,-42.48,-73.76,56.05,92,5.61,91
22,CA,68.36,-133.71,24.8,90,5.82,92
23,AU,-20.73,139.49,80.6,90,17.22,32
24,AU,-42.88,147.33,46.4,75,6.93,52
25,NA,-26.65,15.16,82.4,36,3.36,42
26,US,36.67,-121.66,68.0,1,4.7,55
27,CA,62.45,-114.38,30.2,90,10.29,92
28,US,22.08,-159.32,78.8,75,12.75,78
29,RU,59.7,30.79,33.8,75,15.66,95
30,CL,-53.16,-70.91,51.8,40,19.46,79
31,SA,24.63,46.72,78.8,75,20.8,61
32,ZA,-34.42,19.24,78.1,0,3.94,48
33,NZ,-46.19,168.86,42.32,92,3.04,97
34,ZA,-28.77,32.06,67.39,0,2.71,95
35,UY,-33.69,-53.46,66.26,44,15.68,90
36,RU,53.94,139.92,40.48,92,13.11,98
37,GL,69.22,-51.1,35.6,75,9.17,51
38,ZA,-33.02,27.91,66.2,0,9.17,88
39,US,38.9,-77.04,53.6,90,16.11,81
40,CA,50.53,-103.67,43.58,68,11.43,60
41,MX,27.52,-110.01,86.0,5,2.37,37
42,GL,65.61,-37.64,32.0,92,41.38,95
43,CA,55.74,-97.86,32.0,90,6.93,91
44,PG,-9.47,147.16,78.77,56,5.61,100
45,EC,-0.74,-90.35,80.6,0,12.75,57
46,US,36.62,-121.92,68.0,20,4.7,67
47,AU,-33.64,115.35,58.66,0,14.67,100
48,BR,-30.17,-50.22,62.44,92,30.56,99
49,GL,77.48,-69.36,-7.45,0,10.09,100
50,RU,71.98,102.47,27.16,92,16.58,89
51,NO,62.91,6.91,33.8,20,9.17,86
52,GR,39.45,22.34,59.0,0,4.16,87
53,RU,70.62,147.9,7.13,88,5.73,86
54,CU,20.34,-77.12,84.49,0,4.61,98
55,TH,15.26,100.34,73.01,56,4.38,99
56,CA,50.1,-91.92,42.8,90,8.05,93
57,GL,64.17,-51.74,35.6,90,32.21,80
58,ZA,-34.0,24.73,67.3,0,15.9,79
59,PF,-9.8,-139.03,76.52,92,15.9,100
60,US,34.64,-120.46,73.4,1,4.7,55
61,AR,-38.31,-60.23,72.16,48,8.63,63
62,RU,50.72,136.64,35.3,80,10.98,97
63,GB,56.4,-3.43,42.8,20,5.82,75
64,CA,47.66,-52.73,44.6,75,21.92,52
65,US,21.44,-157.84,80.6,90,11.41,78
66,NC,-20.78,165.23,63.56,20,2.04,92
67,PH,13.72,123.58,80.08,92,14.67,89
68,CL,-45.58,-72.07,62.6,40,8.05,42
69,TL,-8.93,125.41,62.35,0,0.58,83
70,CA,69.44,-133.03,26.6,90,11.41,100
71,GL,72.79,-56.15,22.48,92,22.5,100
72,RU,69.7,170.27,4.43,0,5.28,100
73,CA,53.36,-104.02,33.8,90,8.05,100
74,RU,68.75,161.3,-13.44,8,2.26,62
75,PF,-23.12,-134.97,73.24,8,13.67,100
76,PH,10.91,124.54,76.84,36,7.18,95
77,MU,-20.01,57.66,69.8,40,4.7,83
78,US,44.41,-103.51,60.8,75,13.87,93
79,RU,46.45,135.83,27.7,88,6.4,83
80,CL,-23.65,-70.4,64.4,40,11.41,59
81,US,46.88,-102.79,55.4,20,28.86,62
82,CA,50.7,-127.42,48.2,75,13.87,81
83,FR,47.55,-2.56,42.8,0,11.41,75
84,AO,-15.19,12.15,78.77,0,18.25,86
85,VE,9.75,-63.18,89.6,40,8.63,49
86,IN,30.78,78.62,42.01,0,2.71,70
87,AZ,38.42,48.87,53.6,40,3.36,76
88,CK,-21.21,-159.78,73.4,90,11.41,94
89,AR,-27.46,-55.82,77.0,40,14.99,47
90,US,39.95,-94.76,69.8,1,5.82,32
91,IT,45.18,8.4,57.2,75,16.11,100
92,FR,44.83,-0.61,46.4,0,3.36,65
93,BN,5.28,115.24,78.8,75,2.48,94
94,FR,48.95,4.24,41.0,75,5.82,86
95,AU,-23.58,149.07,67.43,0,4.61,84
96,FR,45.6,-0.6,46.4,40,8.05,61
97,VN,16.47,107.58,77.0,75,2.24,100
98,BM,32.3,-64.78,77.0,75,20.8,65
99,AU,-42.78,147.06,44.6,75,5.82,83
100,ID,3.82,117.25,74.18,76,2.71,98
101,GR,37.72,23.95,64.4,20,2.24,77
102,GF,4.94,-52.33,91.4,75,9.17,59
103,BR,-22.97,-42.02,93.2,40,4.7,49
104,CV,14.9,-24.5,79.36,64,13.11,95
105,US,21.35,-158.09,80.6,20,3.36,74
106,US,60.79,-161.76,28.4,20,14.99,86
107,LA,19.89,102.14,68.38,32,2.15,97
108,US,26.14,-81.79,84.2,75,12.75,61
109,TT,10.24,-61.45,89.6,20,9.17,55
110,RU,53.14,59.15,32.0,40,11.18,83
111,RU,71.64,128.87,10.69,0,14.0,72
112,IT,37.8,12.44,73.4,20,19.46,88
113,ET,8.96,38.73,55.96,0,7.4,53
114,NA,-22.45,18.97,86.0,76,3.36,26
115,CA,52.79,-111.86,46.51,36,10.2,32
116,PW,7.04,134.26,83.59,68,20.71,100
117,VE,11.41,-69.67,89.08,32,9.75,67
118,AR,-31.66,-64.43,75.2,75,16.11,57
119,GF,5.38,-52.96,83.27,24,6.62,91
120,US,20.89,-156.47,80.6,40,18.34,69
121,IN,15.58,79.11,66.58,0,2.48,90
122,PE,-12.06,-77.04,72.16,8,3.04,49
123,NZ,-46.28,169.85,45.79,92,3.49,98
124,RU,67.55,63.78,25.76,80,16.13,93
125,MX,22.89,-109.91,86.0,5,5.82,48
126,CA,68.22,-135.01,24.8,90,4.7,85
127,IN,27.93,96.16,61.67,0,2.15,50
128,RU,63.93,31.65,29.14,64,5.95,83
129,AF,36.74,69.54,49.43,0,2.59,57
130,CN,31.63,117.88,50.0,0,4.47,61
131,CA,45.36,-73.48,41.0,75,14.99,52
132,NO,71.0,24.66,30.2,88,12.75,86
133,MX,20.71,-105.21,84.2,20,5.82,70
134,BR,-10.12,-36.18,81.2,0,20.15,88
135,KZ,48.57,83.65,41.29,0,10.65,67
136,IS,64.25,-15.21,35.26,48,7.63,100
137,AU,-25.24,130.99,66.2,90,3.36,77
138,NE,13.95,7.67,84.58,44,4.61,53
139,US,29.35,-99.14,80.6,1,9.17,47
140,NZ,-35.17,173.16,58.43,44,6.4,100
141,CN,47.83,88.13,12.13,0,2.93,51
142,EC,-0.39,-78.55,64.4,75,19.46,59
143,BR,-21.64,-41.05,82.4,75,9.17,74
144,IN,28.17,94.8,60.1,0,2.37,53
145,TR,40.67,33.6,26.66,0,2.04,73
146,RU,42.43,130.64,39.85,48,10.87,100
147,PG,-2.67,141.3,82.46,76,1.92,100
148,AU,-12.18,136.78,73.4,56,5.73,83
149,MG,-13.19,49.05,72.65,12,3.94,51
150,CA,47.58,-53.28,44.6,75,21.92,52
151,SV,13.59,-89.83,89.6,20,10.29,70
152,LY,29.03,21.55,71.08,24,6.51,39
153,IN,21.77,81.81,64.96,0,2.48,74
154,RU,73.51,80.55,24.1,88,36.6,100
155,BR,-23.68,-45.44,82.4,75,17.22,61
156,ZA,-33.59,26.89,69.73,36,14.79,88
157,RU,61.28,108.01,30.94,88,5.73,97
158,MY,5.33,103.14,77.0,75,4.7,94
159,RU,63.05,179.32,24.28,88,7.07,100
160,US,25.87,-97.51,82.4,20,5.82,54
161,MV,-0.6,73.08,79.76,88,14.23,100
162,FI,65.96,29.19,23.0,0,5.82,85
163,US,55.34,-131.65,51.8,90,6.93,81
164,GH,9.4,-0.84,92.5,32,7.18,44
165,JP,35.73,140.83,60.8,75,10.29,82
166,PH,6.3,120.58,85.21,8,11.88,98
167,EE,59.1,26.19,36.2,88,16.46,100
168,SA,18.22,42.5,66.2,40,1.36,88
169,RU,48.36,43.08,36.7,8,5.17,100
170,PF,-16.7,-151.02,79.54,92,4.94,100
171,CA,49.88,-106.56,50.33,0,19.04,45
172,TR,40.91,38.39,40.88,0,3.15,100
173,PT,38.52,-28.7,66.2,20,19.46,63
174,CL,-33.44,-70.65,78.8,75,6.93,29
175,FI,60.42,24.32,33.8,75,16.11,69
176,SK,48.77,18.62,50.0,90,2.24,93
177,NZ,-45.41,167.72,39.49,92,2.15,100
178,ID,4.14,96.13,77.11,48,2.71,100
179,ML,13.76,-10.85,89.89,12,3.04,50
180,RU,44.66,37.76,59.0,40,15.66,77
181,RU,66.56,67.8,29.23,92,15.79,90
182,MN,45.76,106.27,28.24,0,12.21,70
183,LY,29.16,16.14,76.7,8,14.9,41
184,RU,65.85,74.49,30.17,44,24.63,87
185,RU,58.6,99.18,31.66,0,4.94,77
186,ZA,-34.53,20.04,68.0,0,10.29,82
187,EC,-3.4,-78.58,71.3,76,2.59,82
188,SO,5.35,48.53,77.78,12,2.93,87
189,RU,64.42,-173.23,25.0,0,11.77,100
190,RU,55.32,89.85,20.14,0,2.59,67
191,PH,11.0,122.67,74.36,20,5.61,90
192,MG,-24.69,44.75,68.38,0,13.22,63
193,KZ,44.17,80.0,20.95,8,2.48,56
194,ID,-0.95,122.79,75.76,8,3.27,100
195,CA,65.28,-126.83,23.0,90,2.24,92
196,PF,-16.48,-151.75,76.25,88,6.06,100
197,AU,-37.83,140.78,41.2,8,2.48,87
198,EG,24.09,32.9,73.91,0,9.42,44
199,BR,-18.59,-39.73,83.45,0,18.7,81
200,US,39.31,-74.98,60.8,90,8.05,100
201,NA,-17.91,19.77,79.0,44,6.17,23
202,SY,35.3,37.18,44.26,0,4.38,74
203,MU,-20.41,57.7,69.8,40,4.7,83
204,GB,50.12,-5.53,41.0,40,14.99,100
205,TC,21.46,-71.14,83.27,0,9.19,99
206,GW,11.28,-15.83,87.8,0,4.7,66
207,BD,25.59,89.66,70.36,0,0.58,88
208,US,64.86,-147.8,30.2,90,3.36,100
209,ID,-2.88,108.27,76.16,32,2.59,100
210,JP,31.5,131.29,52.9,0,6.62,100
211,US,30.04,-94.42,78.8,1,3.36,47
212,CA,58.81,-122.69,41.0,75,6.93,60
213,NO,70.86,29.09,32.56,88,16.69,100
214,IS,63.84,-22.43,39.2,90,24.16,100
215,MU,-20.34,57.76,69.8,40,4.7,83
216,BA,44.56,17.53,68.0,0,5.82,49
217,ID,1.74,98.78,70.85,92,1.03,100
218,MX,21.28,-88.27,90.56,0,5.17,47
219,MG,-25.17,45.06,66.71,20,10.76,77
220,ML,16.42,-3.66,85.97,0,7.4,21
221,RU,69.3,139.9,-0.3,80,2.93,73
222,SO,11.47,49.87,68.65,8,2.48,95
223,BW,-18.54,25.64,75.31,12,6.73,20
224,BR,-26.78,-51.02,66.26,0,16.24,65
225,NZ,-46.13,167.69,45.34,92,2.93,100
226,RU,60.47,166.1,35.44,92,3.94,92
227,AR,-46.43,-67.52,69.73,0,8.97,40
228,US,60.55,-151.26,39.2,90,9.17,93
229,RU,59.77,30.8,33.8,75,15.66,95
230,VE,8.02,-62.41,93.17,20,10.98,52
231,ER,13.93,41.69,76.84,0,2.48,52
232,SA,21.43,39.83,80.89,0,7.4,44
233,RU,57.69,71.17,42.68,92,7.63,92
234,US,40.83,-115.76,62.6,40,5.82,33
235,RU,64.73,177.51,23.0,88,13.42,79
236,NG,5.49,7.03,83.72,32,2.82,65
237,PE,-5.56,-80.82,71.48,32,12.44,77
238,CA,48.78,-87.1,41.0,90,2.24,100
239,NO,71.03,27.85,31.25,88,14.23,79
240,CL,-29.95,-71.34,64.4,0,18.34,63
241,NG,12.03,8.66,82.4,20,3.36,65
242,PE,-13.71,-76.2,68.0,20,12.75,72
243,BD,22.34,90.74,76.43,80,15.68,95
244,RU,49.04,41.01,37.06,48,9.42,91
245,UZ,39.96,68.4,66.58,100,9.64,50
246,CL,-38.71,-73.16,61.85,92,4.16,82
247,US,36.3,-76.22,57.2,90,9.17,82
248,CA,63.59,-135.9,21.2,90,2.37,92
249,PG,-2.02,147.27,82.1,12,3.49,100
250,CA,49.72,-86.95,35.6,90,6.93,84
251,JP,35.74,139.53,64.4,90,4.7,71
252,ML,22.68,-3.98,81.25,0,4.94,21
253,KZ,47.96,80.43,27.43,0,3.04,63
254,IR,36.2,46.09,36.79,56,3.38,79
255,AU,-31.97,141.45,62.21,68,9.19,56
256,ES,28.66,-17.92,69.8,75,8.05,83
257,RU,57.02,82.07,46.55,64,9.19,54
258,PT,41.42,-6.55,43.99,32,10.65,62
259,RS,43.52,20.24,64.4,0,3.36,59
260,TH,9.32,99.69,83.59,48,8.41,100
261,RU,59.08,42.29,20.45,32,3.71,81
262,US,32.25,-101.48,78.8,1,5.73,60
263,AR,-37.33,-59.14,67.48,56,7.52,83
264,ID,-2.08,101.38,65.81,36,0.47,97
265,SA,17.54,44.22,78.8,0,6.93,29
266,PH,6.37,126.17,83.72,56,7.4,100
267,PT,37.14,-8.45,60.8,0,19.46,38
268,CM,6.21,10.69,68.2,8,0.92,90
269,PH,7.99,117.06,82.15,8,2.82,100
270,BR,-5.2,-35.46,84.94,0,14.9,65
271,CA,48.0,-66.68,33.55,8,2.93,70
272,FO,62.23,-6.59,39.2,88,6.93,80
273,US,42.09,-70.71,53.6,90,25.28,100
274,ML,18.44,1.41,77.29,0,5.17,17
275,RU,50.6,97.53,7.4,0,4.94,68
276,IN,10.57,72.64,85.97,8,8.75,98
277,IS,63.44,-20.27,41.0,75,23.04,93
278,IL,31.67,34.57,69.8,0,8.05,52
